time,uol,wol,uol_block,wol_block,upi,wpi,upi_block,wpi_block,upid,wpid,upid_block,wpid_block,r
8.2,1,15.1038693449338,1,15.1038693449338,0.079373957159658,0.92600599062115,0.079373957159658,0.92600599062115,0.0775137504861124,0.763594260786291,0.0775137504861124,0.763594260786291,1
8.3,1,14.3672470372713,1,14.3672470372713,0.0795011335928483,0.946817576188547,0.0795011335928483,0.946817576188547,0.0779884078545707,0.7681781170684,0.0779884078545707,0.7681781170684,1
8.4,1,13.547625238071,1,13.547625238071,0.0795901417320494,0.964174284610307,0.0795901417320494,0.964174284610307,0.0784534640997233,0.772702603691386,0.0784534640997233,0.772702603691386,1
8.5,1,12.6623737026938,1,12.6623737026938,0.0796481826439802,0.977784803458974,0.0796481826439802,0.977784803458974,0.0789091147559658,0.777171839321814,0.0789091147559658,0.777171839321814,1
8.6,1,11.7300176835689,1,11.7300176835689,0.0796829691259817,0.987428714539464,0.0796829691259817,0.987428714539464,0.0793555515028887,0.781589098108707,0.0793555515028887,0.781589098108707,1
8.7,1,10.7698523962233,1,10.7698523962233,0.0797025787196558,0.992961691786464,0.0797025787196558,0.992961691786464,0.0797929622105226,0.785956790928887,0.0797929622105226,0.785956790928887,1
8.8,1,9.80154571028997,1,9.80154571028997,0.0797152978143618,0.994319213507552,0.0797152978143618,0.994319213507552,0.0802215309826928,0.790276463483243,0.0802215309826928,0.790276463483243,1
8.9,1,8.84473720653096,1,8.84473720653096,0.0797294599017074,0.991518699146853,0.0797294599017074,0.991518699146853,0.0806414381992122,0.79454881112631,0.0806414381992122,0.79454881112631,1
9,1,7.91864173453686,1,7.91864173453686,0.0797532811908935,0.984660011666994,0.0797532811908935,0.984660011666994,0.0810528605576231,0.798773709974261,0.0810528605576231,0.798773709974261,1
9.1,1,7.04166543513065,1,7.04166543513065,0.0797946968801574,0.973924299069107,0.0797946968801574,0.973924299069107,0.0814559711151717,0.802950263511865,0.0814559711151717,0.802950263511865,1
9.2,1,6.23104186166899,1,6.23104186166899,0.0798612013992367,0.959571181851661,0.0798612013992367,0.959571181851661,0.0818509393316549,0.807076863613385,0.0818509393316549,0.807076863613385,1
9.3,1,5.50249535362154,1,5.50249535362154,0.0799596958906994,0.941934326685574,0.0799596958906994,0.941934326685574,0.0822379311137246,0.811151264611954,0.0822379311137246,0.811151264611954,1
9.4,1,4.8699381952098,1,4.8699381952098,0.0800963460844329,0.921415479580914,0.0800963460844329,0.921415479580914,0.0826171088611724,0.815170668801907,0.0826171088611724,0.815170668801907,1
9.5,1,4.34520734540726,1,4.34520734540726,0.0802764535411835,0.898477063668484,0.0802764535411835,0.898477063668484,0.0829886315156383,0.819131821543745,0.0829886315156383,0.819131821543745,1
9.6,1,3.93784566955555,1,3.93784566955555,0.0805043430007523,0.87363347676278,0.0805043430007523,0.87363347676278,0.0833526546121107,0.823031113965763,0.0833526546121107,0.823031113965763,1
9.7,1,3.65493165560217,1,3.65493165560217,0.0807832682725031,0.84744125148638,0.0807832682725031,0.84744125148638,0.0837093303334935,0.826864691123065,0.0837093303334935,0.826864691123065,1
9.8,1,3.50096057954237,1,3.50096057954237,0.0811153387556789,0.820488265337815,0.0811153387556789,0.820488265337815,0.084058807568425,0.830628563385962,0.084058807568425,0.830628563385962,1
9.9,1,3.4777790163212,1,3.4777790163212,0.0815014682811929,0.793382209148182,0.0815014682811929,0.793382209148182,0.0844012319724395,0.834318718786984,0.0844012319724395,0.834318718786984,1
10,1,3.58457349628991,1,3.58457349628991,0.0819413475326092,0.76673853943555,0.0819413475326092,0.76673853943555,0.0847367460324674,0.837931234059265,0.0847367460324674,0.837931234059265,1
10.1,1,3.81791300572987,1,3.81791300572987,0.0824334408403279,0.741168152845742,0.0824334408403279,0.741168152845742,0.0850654891345776,0.841462382148368,0.0850654891345776,0.841462382148368,1
10.2,1,4.17184394526157,1,4.17184394526157,0.0829750076586186,0.717265028863552,0.0829750076586186,0.717265028863552,0.0853875976347736,0.844908734073294,0.0853875976347736,0.844908734073294,1
10.3,1,4.63803511389158,1,4.63803511389158,0.0835621485396737,0.69559409008141,0.0835621485396737,0.69559409008141,0.0857032049325752,0.84826725314799,0.0857032049325752,0.84826725314799,1
10.4,1,5.2059692997684,1,5.2059692997684,0.0841898749221808,0.676679527411412,0.0841898749221808,0.676679527411412,0.0860124415470348,0.85153537974912,0.0860124415470348,0.85153537974912,1
10.5,1,5.86317715076832,1,5.86317715076832,0.0848522015640596,0.660993830709804,0.0848522015640596,0.660993830709804,0.0863154351947714,0.854711105025142,0.0863154351947714,0.854711105025142,1
10.6,1,6.59550818638291,1,6.59550818638291,0.0855422599799099,0.64894775343997,0.0855422599799099,0.64894775343997,0.0866123108695454,0.857793032181358,0.0866123108695455,0.857793032181358,1
